larc_id,task_name,see_description,grid_description,do_description,succeeded_verification,nb_successful_builds
207,890034e9.json,"In the input, you should see a large grid with one shape with a black center",The output grid size the grid size is the same,"To make the output, you have to count the number of black square in the center of the outlined shape. Somewhere else on the grid is a group of black square that has has the same arrangement, though there may be additional black squares as well. Replicate the original shape from the input grid using those black square as the center. There should be two identical shapes when you are done.",True,1
207,890034e9.json,"In the input, you should see a large grid with one shape with a black center",The output grid size the grid size is same,"To make the output, you have to replicate the original shape from the input grid using those black square as the center. there should be two identical shapes when done.",False,0
207,890034e9.json,"In the input, you should see a large grid with one shape with black center",The output grid size is the same as the input grid size,"To make the output, you have to First, copy the input grid and leave it as it is. Then, count the black color grid inside the shape. Next, find another area in the large grid with the same number of black grid as in the first shape, however, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical shapes in the output grid.",True,1
207,890034e9.json,"In the input, you should see three colors and one of three colors is a five by four blocks",The output grid size same size,"To make the output, you have to the background is the same a second five by four blocks is placed to the left and down or up from the other",False,0
342,d8c310e9.json,"In the input, you should see simple change",The output grid size instead arrive,"To make the output, you have to change as it is",True,2
342,d8c310e9.json,"In the input, you should see like",The output grid size good,"To make the output, you have to nice",True,0
196,82819916.json,"In the input, you should see one complete line and at least one incomplete line. Each line is made of two colors.",The output grid size is the same as the input.,"To make the output, you have to copy the input grid. Then, you have to complete each incomplete line. Maintain the lines color scheme while matching the pattern of the single complete line.",True,1
196,82819916.json,"In the input, you should see some lines filled in with colors",The output grid size is the same,"To make the output, you have to For the line that is filled in completely with colored squares (not black) keep these the same as input . For any line with 3 squares filled in, use this pattern to finish the line across: Where A is the color of the first and second square, and I is the color of the 3rd square, fill in this pattern across the line: A A I I I A I A. All other black squares remain black",False,0
196,82819916.json,"In the input, you should see two lines are different colors",The output grid size different size and width is exactly match.,"To make the output, you have to match with colors are good.",True,0
196,82819916.json,"In the input, you should see Just copy paste the input 5th line full black after first 2 block 7th line also full black after 2 blocks 9th line also same",The output grid size copy input,"To make the output, you have to after finish up submit it",False,0
179,75b8110e.json,"In the input, you should see an 8x8 grid with a black background and 4 distinct quadrants. The top left quadrant shows a yellow pattern, the top right quadrant shows a gray pattern, the bottom left shows a pink pattern, the bottom right shows a brown pattern.",The output grid size becomes 4x4,"To make the output, you have to Copy the top-left (yellow) pattern. Then, place the bottom-right (brown) pattern on top. Then, place the bottom-left pattern (pink) on top. Then, place the top-right (gray) pattern on top. Imagine the black squares are transparent, so every time you superimpose each pattern the one below can be seen through the black squares.",True,0
179,75b8110e.json,"In the input, you should see A 8x8 grid that black background. the top left quandrants should have a yellow pattern, The bottom left should have a pink and bottom right should be brown pattern.",The output grid size 4x4 grid size,"To make the output, you have to copy the top-left yellow pattern then bottom-right brown pattern then bottom-left pink on top then top-right gray",False,0
179,75b8110e.json,"In the input, you should see a 8x8 grid with a black background and 4 distinct quadrants.The top left quadrant should have a yellow pattern, the top right quadrant should have a gray pattern, the bottom left should have a pink pattern, the bottom right should have a brown pattern.",The output grid size becomes 4x4.,"To make the output, you have to resize the output grid to 4x4. Copy the top-left (yellow) pattern. Then, superimpose the bottom-right (brown) pattern on top. Then, superimpose the bottom-left pattern (pink) on top. Then, superimpose the top-right (gray) pattern on top.",True,1
179,75b8110e.json,"In the input, you should see a 8x8 grid with a black background and 4 distinct quadrants. The top left quadrant should have a yellow pattern, the top right quadrant should have a grey pattern, the bottom left should have a pink pattern, the bottom right should have a brown pattern.",The output grid size becomes 4x4,"To make the output, you have to resize the output grid to 4x4. Copy the top-left (yellow) pattern. Then, superimpose the bottom-right (brown) pattern on top. Then, superimpose the bottom-left pattern (pink) on top. Then, superimpose the top-right (gray) pattern on top.",True,0
21,137eaa0f.json,"In the input, you should see single object fill grid","The output grid size In the input, you should see...single object fill grid","To make the output, you have to In the input, you should see...single object fill grid",True,2
21,137eaa0f.json,"In the input, you should see several color patterns that each contain a single gray square.",The output grid size is 3x3.,"To make the output, you have to move each pattern so that the gray square in each pattern occupies the center square of the output 3x3 grid.",True,1
250,a5313dff.json,"In the input, you should see shapes with black inside and dot in center",The output grid size match the output,"To make the output, you have to color the inside blue but if the border of shape goes outside the grid leave inside black",True,3
250,a5313dff.json,"In the input, you should see The structure and the inside color.",The output grid size Fill the inside with blue color,"To make the output, you have to changed the grid and the color.",True,1
315,cdecee7f.json,"In the input, you should see different colors",The output grid size is 3x3,"To make the output, you have to add the different colors from top to bottom",False,0
315,cdecee7f.json,"In the input, you should see a large grid with different colors placed over a black background",The output grid size is much smaller and is similar to the size of the area outside the blue block on the input grid,"To make the output, you have to move all of the colors inside the output with the gray block in the above right and low left corner, green is placed starting from the right corner. red is in up left, blue under red, red is middle, blue under red",False,0
315,cdecee7f.json,"In the input, you should see the different colors of image",The output grid size is on the colored image rather than black,"To make the output, you have to visualize the table and fill out the colors which on the picture",False,0
315,cdecee7f.json,"In the input, you should see change size",The output grid size change size and color,"To make the output, you have to change size",False,0
315,cdecee7f.json,"In the input, you should see colors that are randomly across the grid",The output grid size Will be large enough to contain the number of all the colored squares,"To make the output, you have to Follow the input grid colored squares from left to right. The left most color will be in the top left. The next colored square will to to the right. Each colored square will get its own square in the output. Continue this until you reach the top right corner of the output grid size. Then the next colored square will go under the top right and then they will fill in output grid to the left until it reaches the left edge. Then the it will go below that and continue to the right again. Do this until all of the colored squares from the input grid are used. The remaining squares in the output grid will be black.",True,0
315,cdecee7f.json,"In the input, you should see a different color block in six of the vertical row.",The output grid size is 3x3.,"To make the output, you have to use the first three colors starting from the left to form the top row, put them from left to right. The second row is the three colors from the right placed from left to right as well. The bottom row is all black.",False,0
315,cdecee7f.json,"In the input, you should see .many colors",The output grid size very difficult,"To make the output, you have to to hard",False,0
315,cdecee7f.json,"In the input, you should see common pattern",The output grid size picture,"To make the output, you have to mention",True,0
315,cdecee7f.json,"In the input, you should see some different colors",The output grid size is 3x3,"To make the output, you have to be different.",False,0
315,cdecee7f.json,"In the input, you should see single colored squares randomly across the grid.",The output grid size changes to 3x3,"To make the output, you have to add the colored in order from left to right, leave any remaining spots blank at the end",False,0
102,44f52bb0.json,"In the input, you should see .a 3x3 grid with black and pink squares. There colors are the same for each input grid but the site of the colors are different.",The output grid size a 1x1 grid,"To make the output, you have to .fill in the first, second and last with blue and fill in the other three with yellow.",True,0
102,44f52bb0.json,"In the input, you should see a 3x3 grid with black and pink squares. There colors are the same for each input grid but the site of the colors are different.",The output grid size a 1x1 grid.,"To make the output, you have to fill in the first, second and last with blue and fill in the other three with yellow.",True,0
102,44f52bb0.json,"In the input, you should see a pattern of pink and black",The output grid size change to one square,"To make the output, you have to change it to either blue or orange",True,0
102,44f52bb0.json,"In the input, you should see 3x3 grid",The output grid size 1x1 grid,"To make the output, you have to if input has 3 or 4 red tiles output is orange. if in put has 2, 5, or 6 red tiles output is blue.",True,1
381,f15e1fac.json,"In the input, you should see the grid and then copy paste the grid in the left as in the input grid side",The output grid size by represent the resize option,"To make the output, you have to create the grid as in the background by copying the color grid",False,0
381,f15e1fac.json,"In the input, you should see two colors and blue blocks are the beginning blocks to make a line",The output grid size same size,"To make the output, you have to each blue blocks will start four blocks then one to the left and down to start another line of blocks with five then one over and down to make line of six",False,0
381,f15e1fac.json,"In the input, you should see a many black grid with a few red squares and blue squares",The output grid size the output grid is the same size,"To make the output, you have to copy the original grid. Imagine, but do not make, that the red blocks are actually parallel lines of red blocks Then for each blue square actually draw a line of blue squares as if you want the blue line to intersect the imaginary red line, but stop above where that line would be. Then for each blue line move one square over, or up or down, away from the original red block. Then, beginning in the place where the imaginary red line is draw another blue line in the same direction until you are above the next imaginary red line. Continue the pattern until you have reach the end of the grid. It should look like you are trying to draw a series of diagonal lines on grid paper",True,0
381,f15e1fac.json,"In the input, you should see single blue either on the top or on the side and the single red on the side or the bottom.",The output grid size stay the same,"To make the output, you have to fill in the blue continue with the single block down until a red block then you move to the right and continue down until you see another red block then move again to the right. The red blocks indicate where the blue blocks should go.",True,0
381,f15e1fac.json,"In the input, you should see blue color on the third and seven squares on the first horizontal row, and red color on the four, eight and four squares below on the last vertical row.",The output grid size is same as input grid size.,"To make the output, you have to add two blue squares below the original blue squares , then add four blue squares to the left below the three blue squares, and continue making four blue squares in the same way until there is no space.",False,0
381,f15e1fac.json,"In the input, you should see black background with blue squares and red squares.",The output grid size is the same as the input grid.,"To make the output, you have to First, copy the input grid and leave it as it is. The blue squares act as a starting point for you to draw lines, so if the blue squares are on the left, you have to draw lines horizontally to the right and if the blue squares are at the top, you have to draw the line vertically down. Next, after copying the grid, draw lines from each blue squares and stop just before the grid with the first red square. Then you will start again to draw your second blue lines starting from the grid with the red square, however, you will have to move your line by one grid according to the position of your red square - if your red square is at the bottom, you will move the second line up by one grid, if your red square is at the right, you will have to move your second line left by one grid and if your red square is at the left, you will have to move your second line to the right by one grid. These second blue lines stop just before the grid with the second red square. You will then draw another set of blue lines with the same rule as the second line all the way to the end of the grid.",True,1
155,694f12f3.json,"In the input, you should see color pattern 10x10",The output grid size should be same as input grid size,"To make the output, you have to fill the pattern by red and blue color surrounded by same color, the one with most internal block should be filled with red color",True,1
155,694f12f3.json,"In the input, you should see the color grids.",The output grid size same as input grid size,"To make the output, you have to copy and paste the same input grid with same yellow color grid. In the yellow color color the center part by either blue or red. If the center part small mean color by blue or color by red.",True,0
155,694f12f3.json,"In the input, you should see both grids are same",The output grid size 10*10,"To make the output, you have to output is color",False,0
155,694f12f3.json,"In the input, you should see a 10x10 grid",The output grid size should remain the same,"To make the output, you have to fill in the shapes with red and blue. The one with the most internal blocks, should be red.",True,0
155,694f12f3.json,"In the input, you should see two yellow color objects",The output grid size is same as given,"To make the output, you have to fill red color inside the biggest one, and blue color inside the smallest one, the outside layer should be in the color of yellow",True,0
293,bb43febb.json,"In the input, you should see two large rectangles.",The output grid size remains the same.,"To make the output, you have to fill in the rectangles until only a one-square border of the original color remains.",True,0
293,bb43febb.json,"In the input, you should see a square and rectangular.",The output grid size stay the same.,"To make the output, you have to fill the inside of both shapes with red leaving a border the same color as original.",True,2
293,bb43febb.json,"In the input, you should see two gray rectangles.",The output grid size will be the same size as the input grid (10x10).,"To make the output, you have to color in the center of each gray square red, but make sure you leave a 1 square gray border around it (so if it's a 5x5 gray square, you would color a red 3x3 square inside it, leaving a gray border around the red square).",True,2
339,d687bc17.json,"In the input, you should see a grid that has a chain of the same colored boxes on the outer edges of the grid, and inside the colored edges, there are different colored single boxes.",The output grid size does not matter; any size,"To make the output, you have to copy and paste the entire box. In the end, almost all of the center boxes will be black. Look at the top of the grid; if there are boxes the same color as those on top, move it up to touch the top and then color black any boxes of same color that are left in the middle. Next, look at the right side of the grid, if there are any boxes the same color as the right side, move it up to touch the right side and then color black any boxes of same color that are left in the middle. Repeat these steps for the bottom and left side of the grid.",True,0
339,d687bc17.json,"In the input, you should see a grid with different colors on the border of it in and then multicolored boxes within",The output grid size is the same as the input,"To make the output, you have to copy grid. If any of the boxes on the inside match any of the outline colors move them so they are adjoined to it, without changing the row/column it's in. Do this with every color. If a box on the inside doesn't match with an outside color then just remove it. At the end the middle area should be black and the blocks are adjoined to their respective colors.",True,2
143,6430c8c4.json,"In the input, you should see it is same as the output grid to make.",The output grid size is 3x3 and green color grid.,"To make the output, you have to apply the color of green color grid.",False,0
143,6430c8c4.json,"In the input, you should see orange, yellow, and red pixels in different shapes.",The output grid size is smaller. Make it 4x4.,"To make the output, you have to only use the 4x4 grid that is at the top of the input grid where only the orange pixels are. Fill in the black pixels with green. Then change all the orange pixels to black. Then look at the bottom 4x4 grid of the input where the red pixels are. Make any green pixel in your output black if there is a red pixel where there is a green one.",True,0
143,6430c8c4.json,"In the input, you should see exciting",The output grid size by change the numbers,"To make the output, you have to by read the instructions",False,0
143,6430c8c4.json,"In the input, you should see a long box with an orange pattern on top and a red one on the bottom separated by a yellow line",The output grid size is now a 4x4 grid,"To make the output, you have to color the back ground black and place a green pattern based on the pattern",False,0
143,6430c8c4.json,"In the input, you should see one 9x4 grid separated into two grids with a yellow set of horizontal boxes.","The output grid size is the size of one of the two section, 4x4.","To make the output, you have to put the two section over top of each other. Then you have to look at each block. A block that does not have any of the pattern from the old blocks is colored green. Any block that has pattern from either of the first blocks is colored black.",True,1
285,b782dc8a.json,"In the input, you should see a pattern of mostly two colors, plus a small shape of two other colors",The output grid size same size,"To make the output, you have to fill in the black squares by alternating the colors of the smaller shape",True,1
285,b782dc8a.json,"In the input, you should see a pattern that needs to be completed",The output grid size the same,"To make the output, you have to finish the pattern only on that area",True,1
285,b782dc8a.json,"In the input, you should see a black out put box and a pattern of mostly light blue with a few colored boxes in shape",The output grid size same size,"To make the output, you have to fill in the black squares by alternating the colors of the few colored boxes in other shape starting near the shape and only fill the boundaries of the shape and not all the black boxes",True,0
285,b782dc8a.json,"In the input, you should see s blue and yellow maze",The output grid size stays the same,"To make the output, you have to maintain the colors out across the grid",False,0
114,4be741c5.json,"In the input, you should see areas of 3 or 4 colors.","The output grid size correspond with the vertical or horizontal orientation and the number of colors. For example, if there are 3 colors and they are separated horizontally, then the output would be a horizonal bar with 3 squares.","To make the output, you have to Take the first color, vertically or horizontally, then fill that color in the corresponding square in the output. Then the second and third...",True,1
114,4be741c5.json,"In the input, you should see horizontal or vertical areas of different colors.",The output grid size is one block for each different color either from left to right or top to bottom depending on how the colors change.,"To make the output, you have to fill each block left to right or top to bottom with each new color",True,0
114,4be741c5.json,"In the input, you should see This is 1x3 input grid.",The output grid size This is 3x1 size change.,"To make the output, you have to This is 4x1 output grid.",False,0
378,ecdecbb3.json,"In the input, you should see .A grid with lines of x color and dots of y color.",The output grid size is the same as the input grid,"To make the output, you have to Copy the input grid. Make perpendicular lines from the dots of y color to touch the closest lines of x color. The point of touch should be the y color. If the dot of y color is between 2 lines of y color you should make one lines of y color going through the dot of y color and connecting the lines of x colors. Surround each dot of y color (point of touch) on the line of x color with a square of x color. It should be a square of x color with the center of y color on the line of x color. Done.",True,1
378,ecdecbb3.json,"In the input, you should see A grid with one or more horizontal or vertical lines of pixels of x color and one or more singleton pixels of y color not connected with the lines.",The output grid size is the same as the input grid.,"To make the output, you have to  Copy the input grid. Make a line of color y perpendicular the lines of color x to connect each of the singleton blocks to each of the lines. Change the color of the line blocks where the new line touches, surround each block that has been to color y with blocks of color x. Done.",True,0
397,feca6190.json,"In the input, you should see 5x1 grid with black and colored dots.",The output grid size he height and width will be the number of colored dots in the input times 5.,"To make the output, you have to copy the pattern of the input grid to the bottom left corner of the output grid. On the next row up, copy the pattern of the input grid, but move it to the right by 1 block. Continue this all the way to the top row.",True,1
397,feca6190.json,"In the input, you should see change object size",The output grid size change grid size,"To make the output, you have to follow the insturcion",False,0
397,feca6190.json,"In the input, you should see five multi-colored squares in a horizontal row.","The output grid size the height and width are = to [5 * (the number of colored blocks)], so if there are 3 colored blocks, the grid is 15x15, if there are 2 colored blocks, the grid is 10x10, if there is only one colored block, the grid is 5x5.","To make the output, you have to copy the input. Starting from the bottom left of the output grid, paste the input. Go back to the bottom left, move up one block and to the right one block, paste the input again. Go back to the bottom left, move up two blocks and right two blocks, paste the input again. Repeat this pattern until the leftmost square of the input grid is in the top right corner of the output grid. It will look like a diagonal pattern.",True,0
47,239be575.json,"In the input, you should see two colors on a black background",The output grid size same size,"To make the output, you have to it is either all black or all of one of the other two colors.",False,0
47,239be575.json,"In the input, you should see Blue grid and two red squares with the random Black grid.",The output grid size 1 grid square.,"To make the output, you have to make the color of the square the same color as the square that is five down and three across of the input.",True,2
47,239be575.json,"In the input, you should see Blue grid and two red squares with the random Black grid.",The output grid size single grid of the output.,"To make the output, you have to note whether the red square is placed in the correct position or not. If it is right choose the output single grid as blue or black whichever it is.",True,0
373,ea32f347.json,"In the input, you should see three gray lines of differing lengths on a black background",The output grid size is the same as the input grid.,"To make the output, you have to change the color of the lines. The longest line needs to be colored blue. The middle length line needs to be colored yellow. The shortest line needs to be colored red.",True,1
373,ea32f347.json,"In the input, you should see three gray lines, each a different length, and the background is black.",The output grid size is same size as the input grid.,"To make the output, you have to color the lines based on their length: longest is blue, medium is yellow, and smallest is red.",True,1
373,ea32f347.json,"In the input, you should see three gray line in different lengths",The output grid size don't change,"To make the output, you have to copy the input grid then simply change the color into the long gray line into blue middle grey color into yellow short line into red",True,1
373,ea32f347.json,"In the input, you should see three rectangles on a black background.",The output grid size remains the same.,"To make the output, you have to change the shortest rectangle to red, the middle rectangle to yellow, and the longest rectangle to blue.",True,1
373,ea32f347.json,"In the input, you should see three grey lines, each a different length.",The output grid size stays the same size as the input grid.,"To make the output, you have to copy the input grid, but make the longest line blue, the middle length line yellow, and the shortest line red.",True,1
373,ea32f347.json,"In the input, you should see three gray lines of differing lengths on a black background.",The output grid size is the same as the input grid.,"To make the output, you have to change the color of the lines. The longest line should be blue. The middle length should be colored yellow. The shortest line should be red.",True,1
236,99fa7670.json,"In the input, you should see a 6 by 6 grid",The output grid size remains the same,"To make the output, you have to add the blue one to go to the far right and the next 2 down. Then the gray goes right to meet blue then goes down",False,0
236,99fa7670.json,"In the input, you should see one blue square and one grey square.",The output grid size is the same.,"To make the output, you have to Copy the grid.",False,0
236,99fa7670.json,"In the input, you should see single block",The output grid size extend pattern,"To make the output, you have to add blocks",True,0
236,99fa7670.json,"In the input, you should see a black background with single 1x1 dots of different colors.",The output grid size should be the same as the input.,"To make the output, you have to Take each dot and continue it until it touches the right edge to become a line. Then, starting from the colored line at the bottom, continue the line at the right edge down and continue until it touches the bottom edge. Do the same for each line until it touches the next colored line.",True,0
236,99fa7670.json,"In the input, you should see colored blocks on a black background",The output grid size same as input,"To make the output, you have to extend the colored blocks, using their original color, to the right and downward, creating ""L"" shapes. Start with the bottom-most block. Draw a line from the bottom-most block until it touches the right side of the grid, and then draw a line downward from there until it touches the bottom of the grid. This will form an inverted ""L"" shape that is facing left. Then, go up to the next colored block and repeat this process, except when you draw the line downward, stop where it would touch the first color. This will form another inverted ""L"" shape, on top of the first one. Do this for each colored block.",True,1
236,99fa7670.json,"In the input, you should see grid system changed",The output grid size same as the input,"To make the output, you have to have to change",True,0
148,6773b310.json,"In the input, you should see A 3 high and 3 wide square with 9 square sections, each with pink squares",The output grid size Reduce the grid size so that one square is available for each group. Each 3 by 3 should need a single square.,"To make the output, you have to For each section that hold 2 pink squares, represent that area with a blue box on the new grid. Single squares are shown as black.",True,1
148,6773b310.json,"In the input, you should see fill only 3 grid blue as figure",The output grid size fill only 3 grid blue as figure,"To make the output, you have to fill only 3 grid blue as figure",False,0
148,6773b310.json,"In the input, you should see pink squares",The output grid size reduce grid,"To make the output, you have to successfully",True,1
148,6773b310.json,"In the input, you should see the pattern given",The output grid size stay the same,"To make the output, you have to make each section with a single pink square filled black and with 2 draw in blue",False,0
148,6773b310.json,"In the input, you should see three 3x3 squares with type pink grid",The output grid size 3x3 grid size,"To make the output, you have to fill blue color where 3x3 grid have 2 pink grid",True,1
148,6773b310.json,"In the input, you should see small black sections with dots in them",The output grid size of one of the black sections,"To make the output, you have to use two or three dots of blue and guess which square are colored in",False,0
10,09629e4f.json,"In the input, you should see a gray grid with random color cubes",The output grid size stay the same,"To make the output, you have to find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray.",True,0
10,09629e4f.json,"In the input, you should see a gray grid with random",The output grid size stay the same,"To make the output, you have to find space in grid that only have 4 colored cubes. Copy this small grid, but on the big grid, fill the entire 9x9 block with the cube colors and make the other colored cubes black, except the gray",False,0
10,09629e4f.json,"In the input, you should see a black grid with random color cubes",The output grid size Stay with same,"To make the output, you have to you have to pick different color with 3x3 grid such that cube colors",False,0
10,09629e4f.json,"In the input, you should see a gray grid with 9 different smaller squares with various color block patterns.",The output grid size remains the same.,"To make the output, you have to find the square that has only four color blocks in the pattern. Use that design to fill the blocks in the output design. The gray areas stay the same.",True,0
324,d0f5fe59.json,"In the input, you should see several shapes of one single color","The output grid size is the number of shapes the input grid has. for example, if the input grid has 3 shapes, the grid size is should be 3x3","To make the output, you have to take the same color as the shapes in the input grid and create a line from the top left corner to the base right corner",True,4
324,d0f5fe59.json,"In the input, you should see blue shapes on a black background","The output grid size is the same number of shapes the input grid has so if the input grid has 3 shapes, the grid size is 3x3","To make the output, you have to take the blue color and make a diagonal pattern starting from the up left corner and down to the bottom right corner",True,0
324,d0f5fe59.json,"In the input, you should see change size 2 x 2 first and last box blue",The output grid size change size 4 x 4 diagonal fill blue,"To make the output, you have to change size 3 x 3 diagonal from left top to right end fill blue",False,0
261,a85d4709.json,"In the input, you should see two black blocks on each row from top to bottom",The output grid size does not change,"To make the output, you have to make the row green if two blocks appear together on the left, yellow if two blocks are separated by a gray block in the middle, and red if two blocks appear together on the right on each row",True,1
261,a85d4709.json,"In the input, you should see some grey pixels either in the first column, second or third column.",The output grid size does not change. copy and paste the grid,"To make the output, you have to check the position of the grey pixels. Where the grey pixel is in the first column, the corresponding pixels in that raw in the output should have color red. If the pixel is in the middle column, the corresponding pixels in the output should be yellow. Where the grey pixel is in the the last column , the corresponding pixel in that raw in the output should be green.",True,0
261,a85d4709.json,"In the input, you should see a 3x3 grid",The output grid size stays the same,"To make the output, you have to have the top and bottom row red and middle row yellow",False,0
261,a85d4709.json,"In the input, you should see A 3x3 grid of grey or black squares.",The output grid size is the same as the input.,"To make the output, you have to I the input center box is grey make a horizontal bar in the middle output grid yellow, if it is black the middle bar is green. For the top horizontal bar, if the input upper left box is grey and upper right box is black make the upper bar red, if the upper left is black and upper right is grey, make the upper output bar green.If the input upper right and upper left square are both black make the top horizontal bar yellow.The bottom horizontal bar in the output follow the same rule as the top bar.",False,0
261,a85d4709.json,"In the input, you should see colored squares on a black background that must be changed to a solid color or different colors on the other rows",The output grid size .3x3 grid,"To make the output, you have to change the rows from black to a different color or you can put a different color on each row, or every other row",False,0
261,a85d4709.json,"In the input, you should see the first two column are black and the last gray",The output grid size stays the same,"To make the output, you have to color the entire grid green",False,0
261,a85d4709.json,"In the input, you should see a 3x3 grid",The output grid size 3x3 grid,"To make the output, you have to make each horizontal line a single color",False,0
332,d43fd935.json,"In the input, you should see a green 2x2 square",The output grid size stays the same,"To make the output, you have to fill the same color of any square that is vertical or horizontal to the corner of the green square.",True,0
332,d43fd935.json,"In the input, you should see a 2x2 green square and a number of other smaller colored squares.",The output grid size is the same as the input grid.,"To make the output, you have to copy the input grid. Then, connect the 2x2 green square to any and all other colored squares which you can reach with a straight line. Use the color of the square to which you are connecting the 2x2 green square. Fill in all of the black squares between that square and the 2x2 green square. Leave the rest of the grid - including any colored square you can't reach with a straight line - as they are.",True,2
332,d43fd935.json,"In the input, you should see is a large grid with multiple colored squares",The output grid size stays the same,"To make the output, you have to copy the input to the output. Look at each corner of the green box. Is there a colored square above or beside that corner? Then draw a line the same color as that square to connect it.",True,0
298,bdad9b1f.json,"In the input, you should see 2 horizontal squares and 2 vertical blue squares.",The output grid size have the same size.,"To make the output, you have to continue the pattern of red squares horizontal and continue the blue squares vertical to reach the edge of the grid. On the square that blue and red squares crosses, color that one yellow.",True,6
298,bdad9b1f.json,"In the input, you should see start of two lines",The output grid size no change,"To make the output, you have to continue lines and where crosses color light",True,0
277,b27ca6d3.json,"In the input, you should see some single and paired red boxes on a black field",The output grid size be the same as the input,"To make the output, you have to surround the paired red boxes with green boxes",True,3
277,b27ca6d3.json,"In the input, you should see single and paired red boxes on a black grid",The output grid size is the same as the input,"To make the output, you have to place green boxes all the way around all of the paired red boxes",True,0
109,484b58aa.json,"In the input, you should see colored squares in a pattern with black in the middle of the pattern",The output grid size stay the same,"To make the output, you have to fill in the black areas with the pattern and keep the rest the same",False,0
109,484b58aa.json,"In the input, you should see black squares",The output grid size is the same,"To make the output, you have to remove the black squares and use the pattern to fill in",False,0
109,484b58aa.json,"In the input, you should see a colored grid with a pattern of diagonal lines with some black spots",The output grid size should be the same as the input,"To make the output, you have to fill in the black spots with the continued diagonal pattern that is in the rest of the input so it looks like there is a uniform pattern on the whole grid",False,0
109,484b58aa.json,"In the input, you should see nothing black color grid",The output grid size not change,"To make the output, you have to not changed grid",False,0
109,484b58aa.json,"In the input, you should see executive",The output grid size assume,"To make the output, you have to share",True,1
109,484b58aa.json,"In the input, you should see a pattern with black blocks in some spaces",The output grid size is the same,"To make the output, you have to follow the pattern and fill in the black blocks so the whole grid is the patterns",True,0
109,484b58aa.json,"In the input, you should see a colored pattern with black patterns",The output grid size Same as input,"To make the output, you have to replace black pattern with colored to match the main pattern.",False,0
109,484b58aa.json,"In the input, you should see a background pattern that is not black.",The output grid size remains the same,"To make the output, you have to change all of the black areas to the colors in the background and match the background pattern.",True,0
51,25d8a9c8.json,"In the input, you should see colored pattern in the grids.",The output grid size same as the input grid size.,"To make the output, you have to fill the row with grey if the row has the same colors in the input. color the row with black if the row contain different colors.",True,2
51,25d8a9c8.json,"In the input, you should see grid filled with different colors",The output grid size should be the same as the input,"To make the output, you have to change the color in a given row to gray if the color is the same in that row in the input; otherwise, change the color to black.",True,0
365,e6721834.json,"In the input, you should see .a large grid with two different colors.",The output grid size is one half the size of the original grid with the same orientation,"To make the output, you have to change the output grid to the background color that does not include the two boxes. Next place the colored boxes on the grid where the interior colored boxes match.",True,0
365,e6721834.json,"In the input, you should see 2 sections next to each other, each with a different background color. One section has single squares. The other has the same squares but surrounded by other squares in different color.",The output grid size is the same as the section with single squares.,"To make the output, you have to Using the section with the single squares as starting point, look on the other section for the corresponding squares and copy the squares surrounding the single squares onto the output",True,0
365,e6721834.json,"In the input, you should see a large grid with two different colors. One grid will have individual colored squares. The other grid will have colored squares surrounded by another color.",The output grid size Is one half the size of the original grid with the same orientation.,"To make the output, you have to Copy the grid that has the individual colored squares only. Look at the grid that was not used and create the same colored shapes around the individual squares on the grid. They should be the same colors, shapes, and number of squares.",True,1
220,91413438.json,"In the input, you should see a pattern with a amount of space colored in (1 to 9)","The output grid size becomes different with the different amount of colored in space, more information in next step.","To make the output, you have to figure out how many colored in space I have and the grid becomes different because of that.",False,0
220,91413438.json,"In the input, you should see a colored grid pattern on 3by3 black background grid.",The output grid size count the colored grid in the design pattern. If it is 3 the size of the output grid will 18by18. If it is 4 the size of the output grid will be 15by15. And if it is 5 the output grid size will be 12by12 while 6 will have 9by9 output grid size.,"To make the output, you have to to make the output repeat the design horizontally from the top of the grid by the number of the colored grid on the background using the unique background explained above.",True,0
220,91413438.json,"In the input, you should see a colored grid pattern on 3by 3 black background grid.",The output grid size count the colored grid in the design ever have 9by9 output grid size.,"To make the output, you have to to make the output me have to make the output repeat the design horizontally from the top of the grid by the number of the colored grid on the background using the unique background explained above.",False,0
220,91413438.json,"In the input, you should see a colored pattern on 3x3 black grids",The output grid size change depending on the numbers of the colored grids in the input grid. The change is as follow: 3 colored grids (input pattern) = 18x18 output grid; 4 colored grids (input pattern) = 15x15 output grid; 5 colored grids (input pattern) = 12x12 output grid; 6 colored grids (input pattern) = 9x9 output grid.,"To make the output, you have to First, count the numbers of the colored grids in the input grid, then create the output grid based on the output grid size instruction. Then, keeping in mind the number of the colored grids, copy the exact pattern from the input grid to the output grid, with the same number of times as the number of the colored grids starting from the left side to the right. For example, if the pattern on the input grid has 3 colored grids, you will copy the exact pattern to the output grid 3 times, starting from the left to the right; if the pattern on the input grid has 5 colored grids, you will copy the exact pattern to the output grid 5 times, starting from the left to the right.",True,0
