larc_id,task_name,see_description,grid_description,do_description
294,bbc9ae5d.json,"In the input, you should see a single row that has a certain number of colored boxes with black box(es) at the end.","The output grid size the same width as the input grid and the height is exactly 1/2 of the width of the input grid. For example, if the original grid is 8 boxes wide the new grid will be 8x4 (8 wide and 4 tall).","To make the output, you have to make the top row the same as the row shown in the input grid. Every row that goes down adds one more colored box. So, if the top row has 4 colored boxes, the next row down has 5 and then the next row has 6...etc. This will look like a staircase when you are done. Keep going until the grid is finished."
152,681b3aeb.json,"In the input, you should see two colored section on a black background",The output grid size should be 3x3,"To make the output, you have to piece the two shapes together to form a rectangular section"
369,e8dc4411.json,"In the input, you should see like it",The output grid size good,"To make the output, you have to nice"
386,f35d900a.json,"In the input, you should see black background with two grids of the same color and another two grid of a different color",The output grid size is the same as the input grid size.,"To make the output, you have to copy the input grid, identify the colors of the colored grids. we will call it color A and color B. Around the grids with color A, create a 3x3 square with color B, surrounding the color A grids. Around the grids with color B, create a 3x3 square with color A, surrounding the color B grids. Now we should have four 3x3 squares, in which two squares are A color with B colored grid in their centers."
105,46442a0e.json,"In the input, you should see You will see a quadrant with a lot of colored pixels.","The output grid size is the quadruple of its original size. If the quadrant is composed of 4x4 pixels, then its size will be 8x8. If it is composed of 2x2 pixels, then its size will be 4x4 pixels...","To make the output, you have to You have to follow the same pattern, but rotate it 180 degrees clockwise, and copy the result throughout the quadrant until you have final it. Every time you copy the result, you have to keep turn it."
257,a699fb00.json,"In the input, you should see .a pattern of blue sections with black space between them.",The output grid size stay the same,"To make the output, you have to fill the black sections between two blue sections with red"
191,7e0986d6.json,"In the input, you should see rectangular colored shapes on a black background with blue pixels placed randomly",The output grid size is the same as the input grid,"To make the output, you have to replace the blue pixels with pixels of the same color as the majority of surrounding pixels"
26,1b60fb0c.json,"In the input, you should see a three-part blue pattern against a black background.",The output grid size should match the input.,"To make the output, you have to recreate the blue pattern then add another part on the left, in red."
200,846bdb03.json,"In the input, you should see two vertical line shapes with yellow squares at the top and bottom, and two other shapes that join together with colors that match the middle part of the vertical line shapes.",The output grid size the height is the same as the height of the vertical line shapes. The width is the same width as the grid between the vertical line shapes plus the two yellow squares.,"To make the output, you have to First, create a black grid according to the output grid size. Next, draw the vertical line shapes on the output grid identical to those on the input grid, and the space between the shapes should be the same too. Then, draw the other two shapes that join together in the middle of the grid, making sure that their colors match the colors of the middle part of the vertical line shapes. If the original color arrangement of the other shapes do not match the vertical line shapes, you need to flip the other shapes and draw them mirroring the original pattern so they match the color of the vertical line shapes.Note that the other two join shapes have to be drawn in the middle of the grid and nothing should be drawn on the grid where the yellow squares are."
345,d9fac9be.json,"In the input, you should see green and light blue blocks, with one green square with a light blue in the center of it.",The output grid size the size of one single block,"To make the output, you have to zoom into the light blue center block."
129,5614dbcf.json,"In the input, you should see a series of colored squares with random gray little squares included.",The output grid size is reduced to 3x3 grid.,"To make the output, you have to changed the colored squares in the input grid to a single square of the grid. So that an input grid 3x3 colored square is turned into a single filled square of the same color on the input grid. the same color"
353,ddf7fa4f.json,"In the input, you should see three gray square box and three colored squares",The output grid size is the same,"To make the output, you have to color the gray box the color of the square above it"
88,3e980e27.json,"In the input, you should see black background, and red blocks and, or green blocks surround by other color blocks.",The output grid size stays the same.,"To make the output, you have to copy the input. For the green blocks that have nothing around them, make the same placement of blocks around them as the green block from the input that has blocks around it. If there are red blocks with nothing around them in the end result you want to make them be a mirrored image of the input red block, making the colors around the red block go in the opposite direction in on the horizontal."
67,31aa019c.json,"In the input, you should see large grid with many colored blocks.",The output grid size same as the input.,"To make the output, you have to .make the entire output black. Then, you need to locate a block that is the only color in the input and place it in the same position. Surround the block with red blocks until it forms a square."
241,9ecd008a.json,"In the input, you should see can see a pattern with a some black part.",The output grid size should be the same size as the black spots,"To make the output, you have to fill the black spots with the exact same pattern that need to be filled in the original grid."
304,c3f564a4.json,"In the input, you should see diagonal colored lines with black sections in them.",The output grid size is the same as the original.,"To make the output, you have to fill in the black squares according to the pattern of diagonal colored squares."
187,7b7f7511.json,"In the input, you should see colored squares",The output grid size half the input. Cut the long way in half.,"To make the output, you have to copy one half of the input."
168,6e82a1ae.json,"In the input, you should see the grey shapes",The output grid size same as the input grid.,"To make the output, you have to count the 4 grid shape and color it with blue in the output and follow the same for 2 grid with green and 3 grid with red."
30,1cf80156.json,"In the input, you should see a colored image on a black grid.",The output grid size it becomes the size of the colored image.,"To make the output, you have to you just need to make sure the colored image is exactly (top, bottom, left, right) in the new grid. No color change."
186,7b6016b9.json,"In the input, you should see a shape on a black background",The output grid size is the same.,"To make the output, you have to keep the shape color the same. Fill any areas contained within the shape red and flood the black background with green."
169,6ecd11f4.json,"In the input, you should see a small multi colored grid and a larger rectangle of that is one color plus BLACK",The output grid size the same as the small multi colored grid,"To make the output, you have to replicate the smaller grid. Change the colors to black where they are black in the larger rectangle"
31,1e0a9b12.json,"In the input, you should see four different color pixel shapes each in a column.",The output grid size does not change.,"To make the output, you have to move all pixels down. The colors do not change. Simply move all pixels down until they sit on top of each other. There should not be any black pixels between the same color in a column."
240,9dfd6313.json,"In the input, you should see a mirror pattern with colored blocks on one side split by a line of blocks from one corner to the other.",The output grid size stays the same.,"To make the output, you have to take one side and mirror it to the other side."
305,c444b776.json,"In the input, you should see a black grid divided into sections",The output grid size is the same as the input,"To make the output, you have to copy the color in one section to any other section"
89,3eda0437.json,"In the input, you should see a grid with black, blue and gray squares.",The output grid size is the same size as the input.,"To make the output, you have to find in the input the biggest square or rectangle that can be created with only black boxes. Then make that box area in the output pink instead of black."
66,2dee498d.json,"In the input, you should see a pattern of colored blocks repeated several times from left to right in the grid.",The output grid size is the size of one example of the colored block pattern.,"To make the output, you have to zoom in on one example of the colored pattern and paste it into the grid of the correct size."
217,90c28cc7.json,"In the input, you should see in a black background a rectangle or square created from other colored rectangle or squares.","The output grid size new grid size should be the least number of squares necessary to create a similar, but not always the same, pattern of the colored rectangle or square.","To make the output, you have to consider only the colored part of the input. Create a similar square or rectangle, using the least number of squares."
352,dc433765.json,"In the input, you should see a black background with one yellow and one green square.",The output grid size . remains the same as the input grid,"To make the output, you have to move the green square one block closer to the yellow square, no matter if it is horizontal, diagonal, or vertical."
128,5582e5ca.json,"In the input, you should see a three by three grid with many different colors",The output grid size is the same as the input grid,"To make the output, you have to determine which color is used the most in the input grid and make the entire grid that color"
201,855e0971.json,"In the input, you should see black tiles placed in blocks of color",The output grid size stays the same,"To make the output, you have to make the black tiles into lines that end at the color blocks they are in, if the color blocks appear vertically then the black lines should be horizontally, if the color blocks appear horizontally then the black lines should be vertical"
344,d9f24cd1.json,"In the input, you should see two grey pixels and three red pixels",The output grid size is the same as the input size,"To make the output, you have to extend each red dot straight up so it forms a vertical line. The red pixel must change direction as it reaches the grey pixel to the right and continue straight up."
190,7df24a62.json,"In the input, you should see a 23x23 grid with a black background. There will also be random yellow boxes scattered around. Some of the yellow boxes will be surrounded with blue boxes.",The output grid size 23x23,"To make the output, you have to copy and paste the exact same grid. Find all instances of the pattern that is surrounded in blue. Everywhere on the grid where there is the exact yellow pattern, surround it with blue. So, on all sides of the yellow boxes (in the same pattern) will be blue boxes (exactly as shown in the yellow/blue pattern)."
27,1bfc4729.json,"In the input, you should see 10x10 grid",The output grid size same as input,"To make the output, you have to use same color as input. 2 patterns, top and bottom; pattern like a long A stretch horizontally top then upside down on bottom of grid. To made the A and upside down A all side of grid are colored same color as the near color tile from input. Finally, add a 2 horizontal lines; 1 near top, 1 near bottom."
256,a68b268e.json,"In the input, you should see four 4x4 grids placed on with a blue  dividing them. Each 4x4 grid is their own colors.",The output grid size the size of one 4x4 grid.,"To make the output, you have to take the upper left 4x4 grid. Nothing will need to be changed from it. Add the upper right grid to the 1st one. Remember not to change any colors only add new ones to black boxes. Next do the bottom left grid the same way. Finish with the bottom right grid. You will not use dark blue squares at all."
104,4612dd53.json,"In the input, you should see A pattern with missing color in some squares",The output grid size Copy the grid size,"To make the output, you have to Fill in the black squares with red"
368,e8593010.json,"In the input, you should see a 10x10 black and gray grid",The output grid size is the same as the input.,"To make the output, you have to change single pixels to green,two pixels lines to red,and three pixels shapes to blue.The background stays gray"
387,f5b8619d.json,"In the input, you should see some colored squares",The output grid size is times two of what ever you start with so if you start with a 2 by 2 then the out put would be a 4 by 4,"To make the output, you have to use the in put grid as 4 sections of the out put so that there is a pattern of the first colored squares, then using light blue make lines up and down from the colored squares to until you reach another colored square or the end of the out put grid"
153,6855a6e4.json,"In the input, you should see correctly choosed",The output grid size totally,"To make the output, you have to output grid perfectly"
295,bc1d5164.json,"In the input, you should see a black background with another color",The output grid size changes to 3x3,"To make the output, you have to squeeze the color other than black together so that when the section of the color come together the pattern is complete"
145,662c240a.json,"In the input, you should see a grid with green/red on top, a grid with grey/blue on top, a grid with light blue/yellow on top or a grid with dark red/light blue on top",The output grid size the output is now 3x3,"To make the output, you have to depending on which top you have you will make that 3x3 square. Green/red top, make over the blue/light blue 3x3 area. Grey/blue top, make the green/pink 3x3 area. Light blue/yellow on top, make the light blue/yellow 3x3 area. dark red/light blue top, make the yellow/green 3x3 area."
329,d2abd087.json,"In the input, you should see a black grid with gray shapes that are varied in their size and form.",The output grid size remains the same as the input grid.,"To make the output, you have to copy the input grid. Then count how many gray squares make up each of the individual shapes. If the shape uses (6) gray squares, change those gray squares to red. If the shape has any other number of gray squares, change the gray squares to blue."
283,b7249182.json,"In the input, you should see two cubes of different colors",The output grid size will not change,"To make the output, you have to make each color in line go toward the center. Make a black empty space in the center by stop the lines 1 square each before they meet. This should give you 2 black squares in the center. Form a new line on each side with 2 cubes on either side for each color. Put one more colored cube at the end of these lines to make each color connect. This should make an empty space in the center with a size of 2x3."
112,496994bd.json,"In the input, you should see a black shape with two colored lines on one end",The output grid size is the same as the input grid,"To make the output, you have to copy the input grid and then mirror the colored lines on the other end of the grid."
391,f8c80d96.json,"In the input, you should see a part of a spiral, each line with the same spacing from the last.",The output grid size stays the same.,"To make the output, you have to change the background color from black to light gray, then continue the pattern of lines, with the same spacing and bends."
309,c909285e.json,"In the input, you should see a a small square inside the input grid with border.",The output grid size is the same as the small square inside the input grid.,"To make the output, you have to copy the entire small square grid without change in the pattern or the colors along with the border."
165,6d75e8bb.json,"In the input, you should see a large section of the same color",The output grid size is the same size,"To make the output, you have to fill in the area of the large section with red to make a rectangular section. Background remain the same color"
1,00d62c1b.json,"In the input, you should see a design with lines and empty squares.",The output grid size stays the same.,"To make the output, you have to look at the color that form the design in the input.Find any empty areas of blocks that are enclosed by the lines that form the main design, fill them yellow.You should end with the same original design from the input, but with the empty areas filled yellow."
85,3befdf3e.json,"In the input, you should see a square of one color filled with another color",The output grid size stays the same as the input grid,"To make the output, you have to inverse the colors used in the original shape then add adjacent 4x2 shapes to the outer square on all four sides in the color of the new center square if it had a 2x2 center in the input, or a 3x1 shape on all four sides if the center had a 1x1 shape"
348,db93a21d.json,"In the input, you should see Red squares on a black grid.",The output grid size same size as original,"To make the output, you have to Put a green border around each red square. The thickness of the green border should equal one half of the thickness of the red square (if the square is 6 squares across then the green border should be three squares deep around it). Fill the black squares below the red and green squares with a vertical line of blue squares. The blue squares should be in the same vertical row as the red square and should be the same width as the red square. If the blue line should intersect with a green box, then the green box should stay. Don't color over any green."
93,41e4d17e.json,"In the input, you should see one or more 4x4 outline of squares.",The output grid size stay the same,"To make the output, you have to Copy the grid. color each of the centers of the outlined squares pink. Continue creating a pink line vertically up and down from this pink center cell. DO NOT color the dark Blue outline. Create a pink horizontal line left and right from the pink center cell. DO NOT color the dark Blue outline. Do this for all outlined squares. you should be done."
124,543a7ed5.json,"In the input, you should see a light blue grid with pink boxes that may contain at least one open space.",The output grid size is similar.,"To make the output, you have to fill the inside of the pink boxes with yellow and outline each pink box with green."
173,72ca375d.json,"In the input, you should see several different shapes on a large grid",The output grid size is the size of one of the shapes by itself,"To make the output, you have to copy one of the shapes by itself and keep the black squares if there are any"
364,e50d258f.json,"In the input, you should see 2 or 3 different patterns with at least 1 red square inside.",The output grid size the size of the pattern with the most red squares.,"To make the output, you have to create the pattern with the most red squares inside."
221,91714a58.json,"In the input, you should see A large grid with many colors, with a 4x3 box of one color.",The output grid size The grid size stays the same.,"To make the output, you have to Turn everything black except for the 4x3 box of one color."
108,47c1f68c.json,"In the input, you should see A colored cross that divides the grid into 4 smaller grids. In the top left smaller grid you should see a shape.",The output grid size subtract 1 from each side. 4x4 becomes 3x3,"To make the output, you have to Think of the new grid like the old grid with the divider removed. recreate the shape from the smaller top left grid of the input in the same color as the divider from the input. Mirror the shape in each of the remaining three quadrants along the x and y axis. for a total of 4 shapes in the same color. you are done."
50,25d487eb.json,"In the input, you should see a single pattern",The output grid size does not change,"To make the output, you have to take the smaller color and shoot it out the top"
333,d4469b4b.json,"In the input, you should see a grid with blue, green, or red squares",The output grid size is 3x3.,"To make the output, you have to make a gray grid with four black corner squares if the input is blue squares. If the input is red squares, make a make a gray grid with the bottom right and bottom left black and the middle left and middle right black. If the input is green squares, make a gray grid with a 2x2 black square in the top left."
299,be94b721.json,"In the input, you should see colored shapes with a black background",The output grid size is fully zoomed on the pattern with the highest color count,"To make the output, you have to fully copy the pattern of the largest colored shape, zoomed as much as possible"
276,b230c067.json,"In the input, you should see all patterns are blue in color",The output grid size same but color pattern changes,"To make the output, you have to .similar pattern with singleton color"
325,d10ecb37.json,"In the input, you should see a multi-colored grid with random patterns.",The output grid size is reduced to a 2x2 grid.,"To make the output, you have to copy the colors used in the top left corner of four squares of the grid and make them the corresponding colors on the output 2x2 grid. So if the top left has a red square, then a yellow square with a blue square below the red square and a green square below the yellow square, then those would be placed in the corresponding squares on the output grid."
260,a79310a0.json,"In the input, you should see black background with colored squares",The output grid size Same as input,"To make the output, you have to Move colored square one line down and change to red"
149,67a3c6ac.json,"In the input, you should see a wild pattern of colors",The output grid size same as input,"To make the output, you have to create a right to left mirror image."
11,0962bcdd.json,"In the input, you should see two plus sign shapes with a different center color",The output grid size is the same as input,"To make the output, you have to extend the plus sign one square in every direction and then make a 5x5 'X' of the center color through the center square. You should result in nine squares the color of the center and eight the color of the original plus sign."
372,e9afcf9a.json,"In the input, you should see a pattern with two colors",The output grid size keep the same,"To make the output, you have to start with the color that is on the top. Fill in that line with that color every other square, begin with first square. Fill in the rest in that line with the second color. For the next line, start with the color that is already there (the second color) and fill in in the same every other square pattern. It should look like a game board. The first color in every line is the color of the input grid"
46,23581191.json,"In the input, you should see two colored squares",The output grid size is the same,"To make the output, you have to continue both lines in their color both left to right and up and down. where the two lines cross each other make that square red"
166,6e02f1e3.json,"In the input, you should see a 3x3 grid that may have between 1 and 3 colors.",The output grid size it stays the same.,"To make the output, you have to place 3 grey boxes in various spots based on how many colors there are in the input grid. If there is one color, put 3 grey boxes on the top of the grid. If there are two colors, place a diagonal line of grey boxes form top left to bottom right. If there are 3 colors, place a diagonal line of grey boxes going from bottom left to top right."
189,7ddcd7ec.json,"In the input, you should see a center block with two edges going out",The output grid size is the same,"To make the output, you have to continue the single block diagonally to the edge with the same color"
218,90f3ed37.json,"In the input, you should see a line at the top and two start of lines at the bottom",The output grid size is the same,"To make the output, you have to finish the line so that it is the same as the top line but finish the line in dark blue"
69,32597951.json,"In the input, you should see light blue, dark blue and black boxes. The light blue boxes represent an incomplete rectangle.",The output grid size stays the same.,"To make the output, you have to change the dark blue boxes to green boxes where they cover parts of the rectangle created by the light blue boxes. Once changed the rectangle shape should be clear with no dark blue boxes within its borders."
131,56ff96f3.json,"In the input, you should see one or more pairs of same colors",The output grid size is the same as the input,"To make the output, you have to take the colored as the starting and end point of the rectangle or square assume that the grid make rectangle or square"
2,017c7c7b.json,"In the input, you should see a grid that is 3x6 with black and blue.",The output grid size add 3 rows to the bottom.,"To make the output, you have to keep the original pattern, change the blue to red, and then continue the pattern in the new 3 rows."
86,3c9b0459.json,"In the input, you should see a grid of colored pixels.",The output grid size is the same as the input.,"To make the output, you have to  Create the same pattern as the input, just rotated 180 degrees. Done."
127,5521c0d9.json,"In the input, you should see three colored objects.",The output grid size is the same.,"To make the output, you have to decide how many rows the object has and move it up that same amount of rows."
90,3f7978a0.json,"In the input, you should see A random pattern of grey and light blue tiles",The output grid size changes based on the size of the central pattern in the input grid,"To make the output, you have to IDENTIFY the ""central"" pattern in the input grid. This is includes the two grey columns with light blue tiles at the top, AND EVERYTHING in-between those two columns. Create an output grid size to match the size of the central pattern, and fill it with that pattern. It's like taking a part of the input grid and enlarging it onto the output grid."
28,1c786137.json,"In the input, you should see many colored squares with a section inside a rectangle of same colored squares",The output grid size is the same size as the area of the squares inside of the same colored squares,"To make the output, you have to copy the squares inside of the same colored squares"
170,6f8cd79b.json,"In the input, you should see  A black grid",The output grid size Same as the input grid,"To make the output, you have to You should create light blue border around the black grid."
388,f76d97a5.json,"In the input, you should see colored boxes on a grey grid",The output grid size same as input,"To make the output, you have to replace the grey boxes to the color and replace the color boxes with black"
222,9172f3a0.json,"In the input, you should see 3x3 grid",The output grid size 9x9 grid,"To make the output, you have to each tile in the input grid is a 3x3 grid pattern on the output. Keep same color and pattern but increase to a 9x9 grid"
367,e76a88a6.json,"In the input, you should see large grid.",The output grid size same as the input grid.,"To make the output, you have to copy the color pattern into the other gray grids."
53,264363fd.json,"In the input, you should see large grid",The output grid size input size grid,"To make the output, you have to blocks tall and touch"
275,b1948b0a.json,"In the input, you should see two different color squares",The output grid size the same size as the input,"To make the output, you have to replace all the purple squares with red."
330,d364b489.json,"In the input, you should see several blue squares placed at different parts",The output grid size should be the same size as the input grid,"To make the output, you have to place a orange square to the space left of any blue square, a red square in the space above any blue square, a purple square to the space on the right of any blue square and a light blue square to the space below any blue square."
263,a8c38be5.json,"In the input, you should see a black grid with random 3x3 grids",The output grid size a 9x9 grid,"To make the output, you have to make sure the background is all gray. Then place the colors and shapes you see in the input in the right place. The corners should go in the corners. the t-shape should go at the top in the middle, the upside down t-shape should go at the bottom in the middle, the two side way t-shapes should go on the left and right side in the middle so that the long side is against to the left and right. Make sure to keep the same colors for each"
12,0a938d79.json,"In the input, you should see either a long or tall black grid with 2 different colored pixels",The output grid size remains the same.,"To make the output, you have to create a pattern of short stripes alternating between the 2 colors. Start from the first colored pixel and create a line that goes to the opposite side using that color. Then go to the second colored pixel and do the same. Continue the pattern of stripes to the RIGHT for a long grid or go DOWN for a tall grid all the way to the end."
234,995c5fa3.json,"In the input, you should see three 4x4 grey grids divide by black lines",The output grid size 3x3 grid,"To make the output, you have to make three rows of three different solid colors corresponding to the grey 4x4 blocks. The first 4x4 block is the color of the top row, and so on.Grey 4x4 with a 2x2 black box in the middle = light blueGrey 4x4 with no black = redGrey 4x4 with black box center bottom = yellowGrey 4x4 with two 1x2 black lines on the left and right = greenIf there are any more, they are a different color."
371,e98196ab.json,"In the input, you should see an 11x11 grid",The output grid size an 11x5 grid,"To make the output, you have to mesh together both patterns from above and below the gray line"
45,234bbc79.json,"In the input, you should see three shapes, all of which have a main color with some grey boxes.",The output grid size changes in length by removed any black columns that separate the shapes,"To make the output, you have to make any grey boxes the same color as the blocks to which it is connected. Remove columns of black boxes. Align the middle and right shapes so that the former grey squares are connected."
32,1e32b0e9.json,"In the input, you should see a grid with 9 5x5 square boxes all split by one color. there shapes of another color in 5 of the boxes.",The output grid size is the same as the input.,"To make the output, you have to use the shape that's in the top left box and replicate that in all the other boxes, but leave the color that is already there, and use the other color, the one that is dividing the 9 boxes, to complete the shapes in the rest of the boxes"
185,794b24be.json,"In the input, you should see a 3x3 grid with between 1 to 4 blue squares in it.",The output grid size is the same size as the input grid.,"To make the output, you have to count the number of blue squares in the input. You will need this same number of squares in the output, but the new squares will become red and will be relocated in the following order until you have used the same number of squares that you counted; First red square goes in top left; second red square (if any) goes if top middle; third red square (if any) goes in top right and fourth red square (if any) goes in middle of grid."
306,c59eb873.json,"In the input, you should see blocks of various colors","The output grid size will be double the input size, so if, for example, the input is 4x4 the output will be 8x8.","To make the output, you have to divide each block into a 2x2 square in the same color as the original block. So, each block from the original input grid will become a 2x2 block of 4 squares of the same color as the original block."
243,9f236235.json,"In the input, you should see a single-colored grid of symmetrical lines that intersect to create segmented boxes. The boxes are filled and create a design.",The output grid size becomes smaller. Equal to the number of segmented boxes present in the input grid,"To make the output, you have to avoid the lines that create the boxes, and instead focus on the pattern. Copy the pattern so that it is mirrored horizontally (left to right). You should end up with only the design from the input."
65,2dd70a9a.json,"In the input, you should see red and green dots",The output grid size is the same as the old one,"To make the output, you have to use green line to connect the red and green parts in straight lines"
351,dc1df850.json,"In the input, you should see a black grid with several colored pixels.",The output grid size is the same as input.,"To make the output, you have to draw a blue border around the red pixels. Fill in each pixel around the red pixel with blue. If the red pixel is near the border of the grid, fill in the pixels around it against the border."
214,8eb1be9a.json,"In the input, you should see a pattern in the center",The output grid size keep size the same,"To make the output, you have to copy the pattern for the whole grid to match the center pattern"
73,3631a71a.json,"In the input, you should see a large grid with a multicolored pattern. Notice that the pattern is mirrored horizontally and vertically.",The output grid size stays the same.,"To make the output, you have to Copy the input grid to the output grid. You will see boxes where the pattern is missing. In these boxes, mirror the pattern from the opposite side of the grid, exactly. Use the same colors."
347,db3e9e38.json,"In the input, you should see a line of 4 color squares.",The output grid size does not change,"To make the output, you have to copy-paste the input. starting on each side, alternate colors between orange and light blue, and decreasing the line by one block. So the colors should be orange in middle, then light blue, then orange, then light blue."
202,85c4e7cd.json,"In the input, you should see a grid with different colored square borders that get smaller and smaller until it reaches the center.",The output grid size same size as the input grid.,"To make the output, you have to replace the inner most color with the outer most color and complete the same step with every color until all have been changed. In other words, invert the order of the colors."
24,1a07d186.json,"In the input, you should see one or two main colors with a third that is different than the rest.",The output grid size remains the same,"To make the output, you have to remove the different color that does not match the rest. move the single squares so they are in the same horizontal or vertical place depending if it is a vertical or horizontal line and have them touch the same side the single squares were on."
193,7fe24cdd.json,"In the input, you should see a small section of the the final output pattern",The output grid size is 6x6,"To make the output, you have to copy the original 3x3 pattern and replicate it after you rotate it clockwise onto the output. The top left 3x3 section should be a the same as the input. Then replicate and rotate to the right of this in the 3x3 section to the left, continue this until you have replicate and rotate 3 times total."
310,c9e6f938.json,"In the input, you should see a simple 3x3 pattern of orange and black dots.","The output grid size doubles horizontally, so instead of 3x6 it's now 6x3.","To make the output, you have to copy the original pattern to the left half of the grid, then mirror it on the right, like an inkblot."
255,a65b410d.json,"In the input, you should see a black grid with a small horizontal line in red.",The output grid size exactly the same as the input grid.,"To make the output, you have to copy your red input boxes to the output grid. Make an exact same line (as red) in green, but also add 1 green box. Repeat moving up until your top portion is colored in green with -1 box moving downward. Go to the box(es) just BELOW your red line. Make a new line (or box) in blue, but -1 less blue box than the number of red box(es). Repeat this in blue until you only have ONE black box (row) left on the bottom. In the end you will have green, red, blue and it will zig-zag getting smaller as you go down. Be sure to leave the very bottom row all black."
384,f25ffba3.json,"In the input, you should see a black grid with a color pattern",The output grid size same as input,"To make the output, you have to reflect the pattern upside down like it was up against a mirror"
150,67a423a3.json,"In the input, you should see two intersecting lines of different colors",The output grid size is identical to the input grid.,"To make the output, you have to surround the middle point of the intersection with a 3x3 yellow border, leaving the central block in its original color."
296,bd4472b8.json,"In the input, you should see grids in the first row with different filled colors",The output grid size should be the same,"To make the output, you have to filled the black grid from the third row with the colors specified in the first row. For example, fill the third row with the color in the first row and first column, and repeat."
146,67385a82.json,"In the input, you should see black background with green colored blocks",The output grid size copy the input grid,"To make the output, you have to any green colored blocks that are more than 2 connected blocks (1x2, 2x1, 2x2, or other shapes) should be changed to light blue."
49,253bf280.json,"In the input, you should see light blue dots",The output grid size is the same as the old one,"To make the output, you have to use green lines to connect blue dots that are in the same line"
111,4938f0c2.json,"In the input, you should see a design pattern",The output grid size is similar,"To make the output, you have to correlate the design until you have a pattern on all 4 corners of the cube"
392,f8ff0b80.json,"In the input, you should see 3 colors in random order",The output grid size is only 3 squares placed vertically,"To make the output, you have to Place the colors in order from most to least. For example the color that has the most squares should be the top square color in the output. You then just go down from there. Second most color will go below that."
238,9af7a82c.json,"In the input, you should see grid filled with different colors. No background color.",The output grid size width should be the number of colors. Height should be the number of the most....color.,"To make the output, you have to in a black background, fill out the left with the most ... color. Then the second most...third most..continue. Start it from the top."
393,f9012d9b.json,"In the input, you should see you should see a grid with a two color pattern and a black square in place of part of that pattern.",The output grid size should be the same size and shape as the black square.,"To make the output, you have to fill in the grid so you that you finish the colored pattern that should go where the black squares are located."
48,23b5c85d.json,"In the input, you should see different colored objects in the grid.",The output grid size should be the one colored object with the smallest area.,"To make the output, you have to change the grid size with the colored object with the smallest area and fill the same color."
110,48d8fb45.json,"In the input, you should see a 10x10 grid with different areas colored. One of those areas includes a grey square.",The output grid size is 3x3,"To make the output, you have to repeat the colored area that includes a grey square, but do not include the gray square."
281,b60334d2.json,"In the input, you should see a number of gray single pixel squares",The output grid size stays the same,"To make the output, you have to copy entire image over. Add single gray pixels diagonally from each corner of the current gray pixels, should create an X. Add blue pixels above and to the sides of the center original gray pixels, so it's like a plus sign. You will now have a number of 3x3 squares. Replace the very center, where the gray pixels were in the original input, with black."
147,673ef223.json,"In the input, you should see 2 red lines and 1 to 4 blue dots",The output grid size stay the same,"To make the output, you have to change the dot color from blue to yellow, and connect them to the red line using blue dots. Mirror the same design on the bottom but instead of stopping where the yellow dots WOULD be, continue to the edge of the grid."
278,b2862040.json,"In the input, you should see a dark red background with light blue closed pattern in light blue and line-only pattern in dark blue.",The output grid size remains the same.,"To make the output, you have to make all the closed dark blue patterns light blue."
297,bda2d7a6.json,"In the input, you should see 3 different size of colored grid",The output grid size same as input,"To make the output, you have to change the color of center black 2x2 grid to that of 4X4 grid color, 4X4 change to 6X6 color, and 6X6 change to old 2X2 color"
151,67e8384a.json,"In the input, you should see a 3x3 grid",The output grid size 6x6 grid,"To make the output, you have to copy-paste the pattern in each corner. the pattern on the bottoms flips parallel to the top"
385,f2829549.json,"In the input, you should see a random pattern of orange, a blue line, a random pattern of grey.",The output grid size is 4x3,"To make the output, you have to combine the orange and grey into one pattern that take up a 4x3 space. Fill each black space with green. Fill the old pattern with black. You should only have green spaces."
311,c9f8e694.json,"In the input, you should see a pattern of colored squares and some gray blocks",The output grid size is the same as the input grid size,"To make the output, you have to fill each gray block with the color from the colored blocks that is on the same horizontal row"
254,a64e4611.json,"In the input, you should see area that appear not fill.",The output grid size stay the same.,"To make the output, you have to fill not fill area with green, leaving black border."
25,1b2d62fb.json,"In the input, you should see two red pattern and a blue line in the middle.",The output grid size is 3 wide and 5 up and down,"To make the output, you have to put both pattern together, if it is red in either pattern make it red in the output. Then turn the black light blue and the red black."
192,7f4411dc.json,"In the input, you should see only part square fill",The output grid size fill only square grey,"To make the output, you have to without fill single"
346,dae9d2b5.json,"In the input, you should see a 6x3 grid with a yellow pattern on the left and a green pattern on the right.",The output grid size is 3x3.,"To make the output, you have to copy and paste the left-side of the input (the yellow side) onto the output grid. Then, draw the green pattern on the output grid on top of the yellow (do not copy and paste because the black will overwrite the yellow). Your output grid should now have green and yellow on a black background. Then, recolor each green and yellow square pink, so your output is only pink and black."
203,868de0fa.json,"In the input, you should see a black grid with five blue-border squares.",The output grid size stays the same.,"To make the output, you have to fill the squares with an even number grid INSIDE the blue border with red, and the rest (1x1, 3x3, 5x5) squares with the color you get from red  yellow."
72,3618c87e.json,"In the input, you should see two blue colored grids on top of the grey grids, a black grid is between the two blue grids",The output grid size the two blue grids have been moved two steps downwards,"To make the output, you have to change blue grids to black background, count two steps below each grid's initial placement and fill with blue"
350,dc0a314f.json,"In the input, you should see a green square against the backdrop of a patterned mosaic.",The output grid size is the same size as the green square.,"To make the output, you have to paint the green square to match the patten of the mosaic, like the missing puzzle piece."
